key,Model,Arena Elo rating (anony),Arena Elo rating (full),MTEB Overall Avg,MTEB Retrieval Avg,License,Organization,Link
intfloat/multilingual-e5-small,intfloat/multilingual-e5-small,1024.3191866859688,1024.3191866859688,57.87,46.64,MIT License,Microsoft,https://huggingface.co/intfloat/multilingual-e5-small
sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,975.6808133140313,975.6808133140313,56.26,41.95,Apache-2.0,Sentence Transformers,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2
